C1,C2,C3,C4,C5,C6,C7,C8
0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,1,0
0,0,0,0,1,1,1,0
0,0,0,1,1,1,1,0
0,0,1,1,1,1,1,0
0,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0
1,0,0,0,0,0,0,0.54042
1,1,1,1,1,1,0,0.54042
0,1,0,0,0,0,0,0.59316
0,1,1,1,1,1,0,0.59316
0,0,1,0,0,0,0,0.65564
0,0,1,1,1,1,0,0.65564
0,0,0,1,0,0,0,0.72331
0,0,0,1,1,1,0,0.72331
0,0,0,0,1,0,0,0.75
0,0,0,0,1,1,0,0.75
1,1,0,0,0,0,0,0.84123
1,1,1,1,1,0,0,0.84123
0,1,1,0,0,0,0,0.91767
0,1,1,1,1,0,0,0.91767
0,0,0,1,0,1,0,0.9183
1,1,1,0,0,0,0,0.94499
1,1,1,1,0,0,0,0.94499
0,1,0,1,0,1,0,0.97095
0,1,1,1,0,0,0,0.99316
0,0,0,0,1,0,1,1
0,0,1,0,1,0,1,1
0,0,1,1,0,0,0,1
0,0,1,1,1,0,0,1
1,0,1,0,1,0,1,1
0,0,0,1,1,0,0,1.0566
1,0,0,0,0,0,1,1.0566
1,0,1,1,1,1,1,1.0566
1,1,0,1,1,1,1,1.0566
1,1,1,0,1,1,1,1.0566
1,1,1,1,0,1,1,1.0566
1,1,1,1,1,0,1,1.0566
0,1,0,0,0,0,1,1.1499
0,1,0,1,1,1,1,1.1499
0,1,1,0,1,1,1,1.1499
0,1,1,1,0,1,1,1.1499
0,1,1,1,1,0,1,1.1499
1,0,0,0,0,1,0,1.2091
1,0,0,0,1,0,0,1.2091
1,0,0,1,0,0,0,1.2091
1,0,1,0,0,0,0,1.2091
1,0,1,1,1,1,0,1.2091
1,1,0,1,1,1,0,1.2091
1,1,1,0,1,1,0,1.2091
1,1,1,1,0,1,0,1.2091
1,0,0,1,0,1,0,1.2437
1,0,1,0,0,1,0,1.2437
1,0,1,0,1,0,0,1.2437
1,0,1,0,1,1,0,1.2437
1,0,1,1,0,1,0,1.2437
1,1,0,1,0,1,0,1.2437
0,0,1,0,0,0,1,1.25
0,0,1,0,0,1,0,1.25
0,0,1,0,1,0,0,1.25
0,0,1,0,1,1,0,1.25
0,0,1,0,1,1,1,1.25
0,0,1,1,0,1,0,1.25
0,0,1,1,0,1,1,1.25
0,0,1,1,1,0,1,1.25
0,1,0,0,0,1,0,1.2575
0,1,0,0,1,0,0,1.2575
0,1,0,1,0,0,0,1.2575
0,1,0,1,1,1,0,1.2575
0,1,1,0,1,1,0,1.2575
0,1,1,1,0,1,0,1.2575
0,1,0,0,1,0,1,1.2897
0,1,0,1,0,0,1,1.2897
0,1,0,1,0,1,1,1.2897
0,1,0,1,1,0,1,1.2897
0,1,1,0,1,0,1,1.2897
0,0,0,1,0,0,1,1.3208
0,0,0,1,0,1,1,1.3208
0,0,0,1,1,0,1,1.3208
1,0,0,0,1,0,1,1.3208
1,0,0,1,0,0,1,1.3208
1,0,1,0,0,0,1,1.3208
1,0,1,0,1,1,1,1.3208
1,0,1,1,0,1,1,1.3208
1,0,1,1,1,0,1,1.3208
1,1,0,1,0,1,1,1.3208
1,1,0,1,1,0,1,1.3208
1,1,1,0,1,0,1,1.3208
1,0,0,0,0,1,1,1.3271
1,0,0,1,1,1,1,1.3271
1,1,0,0,0,0,1,1.3271
1,1,0,0,1,1,1,1.3271
1,1,1,0,0,1,1,1.3271
1,1,1,1,0,0,1,1.3271
1,0,0,0,1,1,1,1.39
1,1,0,0,0,1,1,1.39
1,1,1,0,0,0,1,1.39
0,1,0,0,0,1,1,1.4253
0,1,0,0,1,1,1,1.4253
0,1,1,0,0,0,1,1.4253
0,1,1,0,0,1,1,1.4253
0,1,1,1,0,0,1,1.4253
1,0,0,0,1,1,0,1.4387
1,0,0,1,1,0,0,1.4387
1,0,0,1,1,1,0,1.4387
1,0,1,1,0,0,0,1.4387
1,0,1,1,1,0,0,1.4387
1,1,0,0,0,1,0,1.4387
1,1,0,0,1,0,0,1.4387
1,1,0,0,1,1,0,1.4387
1,1,0,1,0,0,0,1.4387
1,1,0,1,1,0,0,1.4387
1,1,1,0,0,1,0,1.4387
1,1,1,0,1,0,0,1.4387
0,1,0,0,1,1,0,1.4575
0,1,0,1,1,0,0,1.4575
0,1,1,0,0,1,0,1.4575
0,1,1,0,1,0,0,1.4575
1,0,0,1,0,1,1,1.4875
1,0,0,1,1,0,1,1.4875
1,0,1,0,0,1,1,1.4875
1,0,1,1,0,0,1,1.4875
1,1,0,0,1,0,1,1.4875
1,1,0,1,0,0,1,1.4875
0,0,1,0,0,1,1,1.5
0,0,1,1,0,0,1,1.5
